rank,title,studio,total_gross,theatres,open,close,imdb_metascore
61,Alpha,Studio 8,35706919,2881,2018-08-17,NA,63
62,Peppermint,STX,35338855,2980,2018-09-07,NA,29
63,Death Wish (2018),MGM,34017028,2882,2018-03-02,2018-05-31,31
64,The Spy Who Dumped Me,LGF,33562069,3111,2018-08-03,2018-09-27,52
65,Annihilation,Par.,32732301,2112,2018-02-23,2018-04-19,79
66,Isle Of Dogs,FoxS,32015231,1947,2018-03-23,2018-08-30,82
67,First Man,Uni.,31493805,3640,2018-10-12,NA,84
68,Adrift,STX,31445012,3015,2018-06-01,2018-08-02,56
69,Super Troopers 2,Fox,30617396,2125,2018-04-20,2018-07-12,41
70,Slender Man,SGem,30542963,2358,2018-08-10,NA,30
71,Goosebumps 2: Haunted Halloween,Sony,30010073,3521,2018-10-12,NA,53
72,Teen Titans Go! To The Movies,WB,29562341,3188,2018-07-27,NA,69
73,Searching,SGem,25944103,2009,2018-08-24,NA,71
74,Winchester,LGF,25091816,2480,2018-02-02,2018-03-29,28
75,Strangers: Prey at Night,Aviron,24586708,2464,2018-03-09,2018-05-31,48
76,White Boy Rick,Studio 8,23937154,2504,2018-09-14,NA,59
77,Won't You Be My Neighbor?,Focus,22609437,893,2018-06-08,NA,85
78,Proud Mary,SGem,20877013,2125,2018-01-12,2018-03-08,35
79,The Happytime Murders,STX,20706452,3256,2018-08-24,2018-09-27,27
80,Superfly,Sony,20545116,2220,2018-06-13,2018-08-09,52
81,Show Dogs,Global Road,17857020,3212,2018-05-18,2018-10-11,31
82,Operation Finale,MGM,17606300,1818,2018-08-29,NA,58
83,"Paul, Apostle of Christ",Affirm,17560475,1473,2018-03-23,2018-05-24,52
84,Sorry to Bother You,Annapurna,17491080,1050,2018-07-06,NA,81
85,Chappaquiddick,ENTMP,17395520,1645,2018-04-06,2018-08-01,67
86,Forever My Girl,RAtt.,16376066,1427,2018-01-19,2018-05-10,36
87,Bad Times At The El Royale,Fox,14462914,2808,2018-10-12,NA,60
88,RBG,Magn.,14017361,432,2018-05-04,NA,72
89,Eighth Grade,A24,13539709,1084,2018-07-13,NA,89
90,The Darkest Minds,Fox,12695691,3127,2018-08-03,2018-10-18,39
91,Three Identical Strangers,Neon,12320845,433,2018-06-29,NA,81
92,The Hate U Give,Fox,12132603,2303,2018-10-05,NA,82
93,Upgrade,BH Tilt,11916615,1458,2018-06-01,2018-08-02,67
94,Padmaavat,VPD,11846060,354,2018-01-25,2018-02-25,63
95,Hell Fest,LGF,10780674,2297,2018-09-28,NA,25
96,The Miracle Season,Mirr/LD,10230620,1707,2018-04-06,2018-07-05,44
97,Midnight Sun,Global Road,9561064,2173,2018-03-23,NA,38
98,Tully (2018),Focus,9334930,1356,2018-05-04,2018-07-05,75
99,Traffik,LGF,9186156,1046,2018-04-20,2018-05-31,37
100,Unfriended: Dark Web,BH Tilt,8783985,1547,2018-07-20,2018-08-16,53
